agent0;agent1;C;N;N_BATTLES;MY_EXPANSION;OPP_EXPANSION;HEURISTIC_COND1;HEURISTIC_COND2_1;HEURISTIC_COND2_2;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MCTS;Random;1.45;75;50;3;3;0.1;1.5;0.04;74.0;11.02;0.64;29.8
Logic;Random;1.45;75;50;3;3;0.1;1.5;0.04;66.0;10.18;0.44;33.68
Logic;Random;1.45;75;50;3;3;0.1;1.5;0.04;68.0;8.94;0.7;39.05
Logic;Random;1.45;75;50;3;3;0.1;1.5;0.04;78.0;9.66;0.4;40.86
Logic;Random;1.45;75;50;3;3;0.1;1.5;0.04;76.0;9.86;0.82;36.81
Logic;Random;1.45;75;50;3;3;0.1;1.5;0.04;68.0;10.2;0.68;32.71
MCTS;Random;1.45;75;50;3;3;0.1;1.5;0.04;60.0;10.0;0.98;27.06
MCTS;Random;1.6;50;100;4;4;0.1;2.0;0.04;71.0;10.89;1.2;32.83
MCTS;Random;1.35;50;100;2;2;0.1;1.5;0.03;62.0;10.4;1.12;29.22
MCTS;Random;1.35;50;100;2;2;0.1;1.5;0.03;71.0;11.49;1.13;35.7
MCTS;Random;1.4;50;100;2;2;0.1;1.5;0.03;67.0;10.67;1.18;28.54
MCTS;Random;1.35;50;100;2;2;0.1;1.5;0.04;62.0;10.97;1.2;28.89
MCTS;Random;1.45;50;100;2;2;0.1;1.5;0.03;76.0;10.91;0.94;33.73
MCTS;Random;1.5;50;100;2;2;0.1;1.5;0.03;61.0;11.89;1.23;29.58
MCTS;Random;1.55;50;100;2;2;0.1;1.5;0.03;73.0;10.71;1.39;34.45
MCTS;Random;1.45;50;100;2;2;0.1;1.5;0.03;70.0;12.39;1.34;33.66
MCTS;Random;1.45;50;100;2;2;0.1;1.5;0.03;61.0;10.92;1.36;29.16
MCTS;Random;1.45;50;100;2;2;0.1;1.5;0.03;60.0;11.46;1.22;29.62
MCTS;Random;1.6;50;100;2;2;0.1;1.5;0.03;67.0;10.8;1.06;28.52
MCTS;Random;1.35;50;100;2;2;0.1;1.5;0.04;74.0;11.26;1.19;36.92
MCTS;Random;1.4;50;100;2;2;0.1;1.5;0.04;70.0;11.09;1.27;34.94
MCTS;Random;1.45;50;100;2;2;0.1;1.5;0.04;66.0;10.8;1.14;31.98
MCTS;Random;1.5;50;100;2;2;0.1;1.5;0.04;76.0;10.81;1.09;36.61
MCTS;Random;1.55;50;100;2;2;0.1;1.5;0.04;65.0;10.76;1.08;30.79
MCTS;Random;1.6;50;100;2;2;0.1;1.5;0.04;69.0;10.45;1.31;32.1
