agent0;agent1;C;N;N_BATTLES;MY_EXPANSION;OPP_EXPANSION;HEURISTIC_COND1;HEURISTIC_COND2_1;HEURISTIC_COND2_2;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MCTS;Random;1.35;100;50;4;4;0.1;1.5;0.04;60.0;10.76;1.52;28.68
MCTS;Random;1.4;100;50;4;4;0.1;1.5;0.04;66.0;12.44;1.76;31.72
MCTS;Random;1.45;100;50;4;4;0.1;1.5;0.04;72.0;12.52;1.78;23.69
MCTS;Random;1.5;100;50;4;4;0.1;1.5;0.04;48.0;11.58;2.18;18.62
MCTS;Random;1.55;100;50;4;4;0.1;1.5;0.04;60.0;11.1;0.92;31.88
MCTS;Random;1.6;100;50;4;4;0.1;1.5;0.04;64.0;12.1;1.6;22.28
MCTS;Random;1.35;100;50;4;4;0.05;1.5;0.04;72.0;10.52;1.4;35.97
MCTS;Random;1.4;100;50;4;4;0.05;1.5;0.04;58.0;11.7;1.62;29.01
MCTS;Random;1.45;100;50;4;4;0.05;1.5;0.04;68.0;9.9;1.42;28.08
MCTS;Random;1.5;100;50;4;4;0.05;1.5;0.04;76.0;10.44;1.18;36.38
MCTS;Random;1.55;100;50;4;4;0.05;1.5;0.04;64.0;11.52;1.76;30.7
MCTS;Random;1.6;100;50;4;4;0.05;1.5;0.04;58.0;9.1;1.06;34.45
MCTS;Random;1.35;100;50;4;4;0.1;2.0;0.04;46.0;12.62;2.42;16.58
MCTS;Random;1.4;100;50;4;4;0.1;2.0;0.04;58.0;10.56;1.34;35.23
MCTS;Random;1.45;100;50;4;4;0.1;2.0;0.04;58.0;11.18;1.46;26.38
MCTS;Random;1.5;100;50;4;4;0.1;2.0;0.04;56.0;11.08;1.66;27.01
MCTS;Random;1.55;100;50;4;4;0.1;2.0;0.04;60.0;11.42;2.1;23.67
MCTS;Random;1.6;100;50;4;4;0.1;2.0;0.04;64.0;10.4;1.74;27.93
MCTS;Random;1.35;100;50;4;4;0.05;2.0;0.04;52.0;11.5;1.92;20.65
MCTS;Random;1.4;100;50;4;4;0.05;2.0;0.04;60.0;11.2;1.88;27.33
MCTS;Random;1.45;100;50;4;4;0.05;2.0;0.04;46.0;11.5;1.28;21.66
MCTS;Random;1.5;100;50;4;4;0.05;2.0;0.04;58.0;11.16;1.48;24.56
MCTS;Random;1.55;100;50;4;4;0.05;2.0;0.04;60.0;11.62;2.3;19.75
MCTS;Random;1.6;100;50;4;4;0.05;2.0;0.04;64.0;11.64;1.48;29.32
MCTS;Random;1.35;100;50;4;4;0.1;1.5;0.02;52.0;11.64;1.92;21.91
MCTS;Random;1.4;100;50;4;4;0.1;1.5;0.02;60.0;11.56;1.62;26.72
MCTS;Random;1.45;100;50;4;4;0.1;1.5;0.02;62.0;10.7;1.66;33.73
MCTS;Random;1.5;100;50;4;4;0.1;1.5;0.02;58.0;10.46;1.22;23.23
MCTS;Random;1.55;100;50;4;4;0.1;1.5;0.02;70.0;9.96;1.7;30.56
MCTS;Random;1.6;100;50;4;4;0.1;1.5;0.02;58.0;11.44;1.26;27.78
MCTS;Random;1.35;100;50;4;4;0.05;1.5;0.02;52.0;11.34;1.88;25.28
MCTS;Random;1.4;100;50;4;4;0.05;1.5;0.02;58.0;12.22;1.88;24.4
MCTS;Random;1.45;100;50;4;4;0.05;1.5;0.02;54.0;11.42;1.44;23.93
MCTS;Random;1.5;100;50;4;4;0.05;1.5;0.02;68.0;11.84;2.36;30.37
MCTS;Random;1.55;100;50;4;4;0.05;1.5;0.02;56.0;11.88;2.22;28.85
MCTS;Random;1.6;100;50;4;4;0.05;1.5;0.02;58.0;10.52;1.12;29.48
MCTS;Random;1.35;100;50;4;4;0.1;2.0;0.02;72.0;10.38;1.64;36.4
MCTS;Random;1.4;100;50;4;4;0.1;2.0;0.02;68.0;11.84;1.54;26.73
MCTS;Random;1.45;100;50;4;4;0.1;2.0;0.02;70.0;11.0;1.82;34.73
MCTS;Random;1.5;100;50;4;4;0.1;2.0;0.02;68.0;11.98;1.68;31.28
MCTS;Random;1.55;100;50;4;4;0.1;2.0;0.02;72.0;11.54;1.12;30.66
MCTS;Random;1.6;100;50;4;4;0.1;2.0;0.02;56.0;11.98;2.26;22.69
MCTS;Random;1.35;100;50;4;4;0.05;2.0;0.02;62.0;12.14;1.64;23.79
MCTS;Random;1.4;100;50;4;4;0.05;2.0;0.02;54.0;12.26;1.84;27.34
MCTS;Random;1.45;100;50;4;4;0.05;2.0;0.02;74.0;10.32;1.4;33.44
MCTS;Random;1.5;100;50;4;4;0.05;2.0;0.02;64.0;10.22;1.3;38.19
MCTS;Random;1.55;100;50;4;4;0.05;2.0;0.02;74.0;10.08;1.02;34.54
MCTS;Random;1.6;100;50;4;4;0.05;2.0;0.02;62.0;11.1;1.64;26.73
