agent0;agent1;N_BATTLES;SWITCH_TRESHOLD;LIFE_VALUE;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MiniMax;Random;100;3000;300;32.0;13.81;2.52;14.41
MiniMax;Random;100;4000;300;40.0;13.7;1.55;17.62
MiniMax;Random;100;4500;300;44.0;14.44;1.13;17.14
MiniMax;Random;100;5000;300;49.0;13.67;0.76;18.34
MiniMax;Random;100;3000;500;31.0;13.22;3.39;15.85
MiniMax;Random;100;4000;500;35.0;14.06;1.73;17.77
MiniMax;Random;100;4500;500;39.0;13.81;1.62;17.75
MiniMax;Random;100;5000;500;36.0;13.26;1.19;15.75
MiniMax;Random;100;3000;1000;28.0;13.56;4.62;13.52
MiniMax;Random;100;4000;1000;25.0;13.09;3.07;12.82
MiniMax;Random;100;4500;1000;39.0;13.11;2.19;18.96
MiniMax;Random;100;5000;1000;44.0;13.75;2.03;22.5
MiniMax;Combined;10;500;300;20.0;14.0;8.0;9.11
MiniMax;Random;100;5000;300;47.0;14.13;0.64;21.38
MiniMax;Random;300;5000;300;44.67;13.04;0.9;20.41
