agent0;agent1;N_BATTLES;C;N;MY_TOP_MOVES;OPP_TOP_MOVES;SWITCH_COND;SIMILAR_UTILITY_COND1;SIMILAR_UTILITY_COND2;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MCTS;Combined;100;1.7;30;3;3;0.3;1.7;0.05;52.0;10.48;1.0;23.49
MCTS;MiniMax;100;1.7;30;3;3;0.3;1.7;0.05;76.0;10.7;0.89;38.1
MCTS;MCTS;100;1.7;30;3;3;0.3;1.7;0.05;62.0;10.61;0.84;27.99
MCTS;Combined;300;1.7;30;3;3;0.3;1.7;0.05;56.33;10.37;0.91;26.19
MCTS;MCTS;300;1.7;30;3;3;0.3;1.7;0.05;58.0;10.53;0.99;25.86
MCTS;MiniMax;300;1.7;30;3;3;0.3;1.7;0.05;60.33;11.06;0.82;28.09
MCTS;Random;100;1.7;30;3;3;0.3;1.7;0.05;76.0;11.19;0.92;37.94
MCTS;Random;300;1.7;30;3;3;0.3;1.7;0.05;70.67;10.76;1.08;35.11
MCTS;Logic;100;1.7;30;3;3;0.3;1.7;0.05;71.0;11.71;4.15;38.98
MCTS;Logic;300;1.7;30;3;3;0.3;1.7;0.05;76.33;11.49;4.52;40.78
